Accession,Function_Annotation,log10p_value,Z_score
Q60813,Cell movement of sperm,10.73,2.523
Q8C0T9,Cell movement of sperm,10.73,2.523
Q60662,Cell movement of sperm,10.73,2.523
Q75UR0,Cell movement of sperm,10.73,2.523
Q9WV27,Cell movement of sperm,10.73,2.523
P00920,Cell movement of sperm,10.73,2.523
Q91ZR5,Cell movement of sperm,10.73,2.523
A2ARP9,Cell movement of sperm,10.73,2.523
Q80W99,Cell movement of sperm,10.73,2.523
Q8BVN3,Cell movement of sperm,10.73,2.523
E9Q9F6,Cell movement of sperm,10.73,2.523
P58019,Cell movement of sperm,10.73,2.523
Q0VFX2,Cell movement of sperm,10.73,2.523
E9Q5M6,Cell movement of sperm,10.73,2.523
Q3V0B4,Cell movement of sperm,10.73,2.523
Q9D5U8,Cell movement of sperm,10.73,2.523
O54833,Cell movement of sperm,10.73,2.523
A2A432,Cell movement of sperm,10.73,2.523
E9Q8T7,Cell movement of sperm,10.73,2.523
P63037,Cell movement of sperm,10.73,2.523
Q9DAM2,Cell movement of sperm,10.73,2.523
Q8C042,Cell movement of sperm,10.73,2.523
P30416,Cell movement of sperm,10.73,2.523
Q07133,Cell movement of sperm,10.73,2.523
P54310,Cell movement of sperm,10.73,2.523
Q9CWP4,Cell movement of sperm,10.73,2.523
Q715T0,Cell movement of sperm,10.73,2.523
P09041,Cell movement of sperm,10.73,2.523
Q60963,Cell movement of sperm,10.73,2.523
P05132,Cell movement of sperm,10.73,2.523
P60154,Cell movement of sperm,10.73,2.523
Q9EQ00,Cell movement of sperm,10.73,2.523
Q8C0X2,Cell movement of sperm,10.73,2.523
Q6UJY2,Cell movement of sperm,10.73,2.523
P15265,Cell movement of sperm,10.73,2.523
Q64442,Cell movement of sperm,10.73,2.523
Q8K450,Cell movement of sperm,10.73,2.523
Q9JLI7,Cell movement of sperm,10.73,2.523
Q9WTK7,Cell movement of sperm,10.73,2.523
Q922G7,Cell movement of sperm,10.73,2.523
Q9D411,Cell movement of sperm,10.73,2.523
O88623,Cell movement of sperm,10.73,2.523
Q5H8C4,Cell movement of sperm,10.73,2.523
Q60813,Cell movement of germ cells,9.58,2.214
Q8C0T9,Cell movement of germ cells,9.58,2.214
Q60662,Cell movement of germ cells,9.58,2.214
Q75UR0,Cell movement of germ cells,9.58,2.214
Q9WV27,Cell movement of germ cells,9.58,2.214
P00920,Cell movement of germ cells,9.58,2.214
Q91ZR5,Cell movement of germ cells,9.58,2.214
A2ARP9,Cell movement of germ cells,9.58,2.214
Q80W99,Cell movement of germ cells,9.58,2.214
Q8BVN3,Cell movement of germ cells,9.58,2.214
E9Q9F6,Cell movement of germ cells,9.58,2.214
P58019,Cell movement of germ cells,9.58,2.214
Q0VFX2,Cell movement of germ cells,9.58,2.214
E9Q5M6,Cell movement of germ cells,9.58,2.214
Q3V0B4,Cell movement of germ cells,9.58,2.214
Q9D5U8,Cell movement of germ cells,9.58,2.214
O54833,Cell movement of germ cells,9.58,2.214
A2A432,Cell movement of germ cells,9.58,2.214
E9Q8T7,Cell movement of germ cells,9.58,2.214
P63037,Cell movement of germ cells,9.58,2.214
Q9DAM2,Cell movement of germ cells,9.58,2.214
Q8C042,Cell movement of germ cells,9.58,2.214
P30416,Cell movement of germ cells,9.58,2.214
Q07133,Cell movement of germ cells,9.58,2.214
P09055,Cell movement of germ cells,9.58,2.214
P54310,Cell movement of germ cells,9.58,2.214
Q9CWP4,Cell movement of germ cells,9.58,2.214
Q715T0,Cell movement of germ cells,9.58,2.214
P09041,Cell movement of germ cells,9.58,2.214
Q60963,Cell movement of germ cells,9.58,2.214
P05132,Cell movement of germ cells,9.58,2.214
P60154,Cell movement of germ cells,9.58,2.214
Q9EQ00,Cell movement of germ cells,9.58,2.214
Q8C0X2,Cell movement of germ cells,9.58,2.214
Q6UJY2,Cell movement of germ cells,9.58,2.214
P15265,Cell movement of germ cells,9.58,2.214
Q64442,Cell movement of germ cells,9.58,2.214
Q8K450,Cell movement of germ cells,9.58,2.214
Q9JLI7,Cell movement of germ cells,9.58,2.214
Q9WTK7,Cell movement of germ cells,9.58,2.214
Q922G7,Cell movement of germ cells,9.58,2.214
Q9D411,Cell movement of germ cells,9.58,2.214
O88623,Cell movement of germ cells,9.58,2.214
Q5H8C4,Cell movement of germ cells,9.58,2.214
P09470,Function of sperm,8.53,
Q60662,Function of sperm,8.53,
O54794,Function of sperm,8.53,
Q9WV27,Function of sperm,8.53,
Q91ZR5,Function of sperm,8.53,
A2ARP9,Function of sperm,8.53,
Q80W99,Function of sperm,8.53,
Q8BVN3,Function of sperm,8.53,
P26361,Function of sperm,8.53,
Q03401,Function of sperm,8.53,
Q9CWP4,Function of sperm,8.53,
Q715T0,Function of sperm,8.53,
Q9DAN1,Function of sperm,8.53,
Q3UUQ7,Function of sperm,8.53,
P63087-2,Function of sperm,8.53,
Q9JHJ7,Function of sperm,8.53,
Q9DAA4,Function of sperm,8.53,
Q8VIG3,Function of sperm,8.53,
P28661,Function of sperm,8.53,
P48794,Function of sperm,8.53,
Q9D5A0,Function of sperm,8.53,
Q93092,Function of sperm,8.53,
P23578,Asthenozoospermia,8.09,-2.646
Q8C0T9,Asthenozoospermia,8.09,-2.646
Q9WV27,Asthenozoospermia,8.09,-2.646
Q8R5M8,Asthenozoospermia,8.09,-2.646
Q91ZR5,Asthenozoospermia,8.09,-2.646
A2ARP9,Asthenozoospermia,8.09,-2.646
Q80W99,Asthenozoospermia,8.09,-2.646
Q8BVN3,Asthenozoospermia,8.09,-2.646
P58019,Asthenozoospermia,8.09,-2.646
Q04735,Asthenozoospermia,8.09,-2.646
P26361,Asthenozoospermia,8.09,-2.646
Q3TCH7,Asthenozoospermia,8.09,-2.646
E9Q8T7,Asthenozoospermia,8.09,-2.646
P63037,Asthenozoospermia,8.09,-2.646
Q9WTX7,Asthenozoospermia,8.09,-2.646
P30416,Asthenozoospermia,8.09,-2.646
Q07133,Asthenozoospermia,8.09,-2.646
P43275,Asthenozoospermia,8.09,-2.646
Q61316,Asthenozoospermia,8.09,-2.646
P48722,Asthenozoospermia,8.09,-2.646
P54310,Asthenozoospermia,8.09,-2.646
Q715T0,Asthenozoospermia,8.09,-2.646
Q61999,Asthenozoospermia,8.09,-2.646
Q5QNQ6,Asthenozoospermia,8.09,-2.646
P09041,Asthenozoospermia,8.09,-2.646
P05132,Asthenozoospermia,8.09,-2.646
Q9JHJ7,Asthenozoospermia,8.09,-2.646
Q5SSW2,Asthenozoospermia,8.09,-2.646
P28661,Asthenozoospermia,8.09,-2.646
Q6UJY2,Asthenozoospermia,8.09,-2.646
P15265,Asthenozoospermia,8.09,-2.646
Q8K450,Asthenozoospermia,8.09,-2.646
Q924X7,Asthenozoospermia,8.09,-2.646
Q93092,Asthenozoospermia,8.09,-2.646
P11985,Asthenozoospermia,8.09,-2.646
Q5H8C4,Asthenozoospermia,8.09,-2.646
P58742,Fertilization,7.66,1.976
P09470,Fertilization,7.66,1.976
P23578,Fertilization,7.66,1.976
Q3V140,Fertilization,7.66,1.976
Q60813,Fertilization,7.66,1.976
Q8C0T9,Fertilization,7.66,1.976
Q99PT1,Fertilization,7.66,1.976
P50428,Fertilization,7.66,1.976
Q9WV27,Fertilization,7.66,1.976
Q6UQ17,Fertilization,7.66,1.976
Q91ZR5,Fertilization,7.66,1.976
A2ARP9,Fertilization,7.66,1.976
Q3TVA9,Fertilization,7.66,1.976
P40240,Fertilization,7.66,1.976
P26361,Fertilization,7.66,1.976
P52194,Fertilization,7.66,1.976
Q9QZL9,Fertilization,7.66,1.976
