Accession,Protein_Name,Gene_symbol,Protein_Type,Sperm_Location,Caput,NC_Cauda,CORE,NegLog10_p_value,FC
A0JLY1,Coiled-coil domain-containing protein 173,Ccdc173,,,Yes,Yes,Yes,2.732,0.492
A0JP43,EF-hand calcium-binding domain-containing protein 5,Efcab5,,,Yes,Yes,Yes,2.235,0.603
A1EGX6,Fibrous sheath CABYR-binding protein,Fscb,,Flagellum,Yes,Yes,Yes,2.042,0.395
A1L3C1,Protein FAM71E1,Fam71e1,,,Yes,Yes,Yes,0.167,0.206
A2A432,Cullin-4B,Cul4b,,Nucleus,Yes,Yes,Yes,2.357,-0.569
A2A4P0,ATP-dependent RNA helicase DHX8,Dhx8,Enzyme,Nucleus,Yes,,,,
A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,Arfgef2,,,Yes,Yes,Yes,3.637,-0.286
A2A6A1,G patch domain-containing protein 8,Gpatch8,,Nucleus,Yes,,,,
A2A6Q5,Cell division cycle protein 27 homolog,Cdc27,,Nucleus,Yes,,,,
A2A791,Zinc finger MYM-type protein 4,Zmym4,,,Yes,,,,
A2A863,Integrin beta-4,Itgb4,Transmembrane receptor,,Yes,,,,
A2A8L1,Chromodomain-helicase-DNA-binding protein 5,Chd5,Enzyme,Nucleus,Yes,,,,
A2A8U2,Transmembrane protein 201,Tmem201,,Nucleus,Yes,,,,
A2A8Z1,Oxysterol-binding protein-related protein 9,Osbpl9,,,Yes,,,,
A2A935,Histone-lysine N-methyltransferase PRDM16,Prdm16,Transcription regulator,Nucleus,Yes,,,,
A2A974,Cytochrome P450 4A12B,Cyp4a12b,Enzyme,,,Yes,,,
A2A9F4,Keratinocyte differentiation factor 1,Kdf1,,,Yes,,,,
A2ABV5,Mediator of RNA polymerase II transcription subunit 14,Med14,Transcription regulator,Nucleus,Yes,,,,
A2AC93,"Dynein intermediate chain 2, axonemal",Dnai2,,Axoneme,Yes,Yes,Yes,2.387,0.281
A2ACP1,Tetratricopeptide repeat protein 39A,Ttc39a,,,,Yes,,,
A2ADY9,Protein DDI1 homolog 2,Ddi2,Transporter,,Yes,,,,
A2AE20,Sperm acrosome-associated protein 5,Spaca5,,,Yes,Yes,Yes,0.845,0.124
A2AG58,BCLAF1 and THRAP3 family member 3,Bclaf3,,,Yes,,,,
A2AGH6,Mediator of RNA polymerase II transcription subunit 12,Med12,Transcription regulator,Nucleus,Yes,,,,
A2AGT5,Cytoskeleton-associated protein 5,Ckap5,Transcription regulator,,Yes,,,,
A2AH22,Activating molecule in BECN1-regulated autophagy protein 1,Ambra1,,Nucleus; Mitochondria; Axoneme,Yes,,,,
A2AIL4,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 6",Ndufaf6,,Nucleus; Mitochondria,Yes,Yes,Yes,2.371,-0.425
A2AIP0,Protein FAM166B,Fam166b,,,Yes,,,,
A2AIV2,Protein virilizer homolog,Virma,,Nucleus,Yes,,,,
A2AIW0,Endosome-associated-trafficking regulator 1,Entr1,,,,Yes,,,
A2AJ15,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",Man1b1,Enzyme,,Yes,,,,
A2AJ88,Patatin-like phospholipase domain-containing protein 7,Pnpla7,Enzyme,,Yes,,,,
A2AJB1,Coiled-coil domain-containing protein 183,Ccdc183,,,Yes,Yes,Yes,2.693,0.456
A2AJB7,Epididymal-specific lipocalin-5,Lcn5,Enzyme,,Yes,Yes,Yes,1.939,0.415
A2AJQ3,Probable C-mannosyltransferase DPY19L4,Dpy19l4,,,Yes,,,,
A2AKB9,DDB1- and CUL4-associated factor 10,Dcaf10,,,,Yes,,,
A2AKE7,Actin-like protein 10,Actl10,,,Yes,Yes,Yes,3.311,0.738
A2AKG8,Focadhesin,Focad,,,Yes,,,,
A2AKQ0,UDP-glucuronic acid/UDP-N-acetylgalactosamine transporter,Slc35d1,Transporter,,Yes,,,,
A2AKQ8,Tetratricopeptide repeat protein 30A2,Ttc30a2,,,,Yes,,,
A2AKX3,Probable helicase senataxin,Setx,Enzyme,Nucleus,Yes,,,,
A2AL36,Centriolin,Cntrl,Transcription regulator,,Yes,,,,
A2ALK8,Tyrosine-protein phosphatase non-receptor type 3,Ptpn3,Phosphatase,,Yes,,,,
A2ALW5,DnaJ homolog subfamily C member 25,Dnajc25,,,Yes,,,,
A2AN08,E3 ubiquitin-protein ligase UBR4,Ubr4,Enzyme,Nucleus,Yes,Yes,Yes,4.017,-0.599
A2APY7,"Arginine-hydroxylase NDUFAF5, mitochondrial",Ndufaf5,,Mitochondria,Yes,,,,
A2AQ07,Tubulin beta-1 chain,Tubb1,,,,Yes,,,
A2AQ19,RNA polymerase-associated protein RTF1 homolog,Rtf1,,Nucleus,Yes,,,,
A2AQ25,Sickle tail protein,Skt,,,Yes,,,,
A2AR02,Peptidyl-prolyl cis-trans isomerase G,Ppig,Enzyme,Nucleus,Yes,,,,
